Home_Past3_Form,Home_Past5_Form,Home_Streak,Home_Current_Standing,Home_Past_Standing,Home_Goals_Per_Game,Home_Shots_Per_Game,Home_SOT_Per_Game,Home_Corners_Per_Game,Home_Fouls_Per_Game,Home_Reds_Last2,Home_Yellows_Last2,Home_Goals_Against_Per_Game,Home_Shots_Against_Per_Game,Home_SOT_Against_Per_Game,Home_Corners_Against_Per_Game,Home_Fouls_Against_Per_Game,Away_Past3_Form,Away_Past5_Form,Away_Streak,Away_Current_Standing,Away_Past_Standing,Away_Goals_Per_Game,Away_Shots_Per_Game,Away_SOT_Per_Game,Away_Corners_Per_Game,Away_Fouls_Per_Game,Away_Goals_Against_Per_Game,Away_Shots_Against_Per_Game,Away_SOT_Against_Per_Game,Away_Corners_Against_Per_Game,Away_Fouls_Against_Per_Game,Away_Reds_Last2,Away_Yellows_Last2,Home_H2H_Past3,Home_H2H_Past5,Away_H2H_Past3,Away_H2H_Past5,Match_Result
-3,-4,-4,11,7,1.18,10.64,5.64,4.77,11.05,0,4,1.18,11.18,5.41,5.95,12.0,-1,-1,0,7,6,1.32,11.18,6.05,6.27,13.68,0.82,13.27,7.59,6.36,11.82,0,3,-1,-1,1,1,-1
-1,-3,-1,19,17,0.91,8.95,5.0,4.23,14.05,0,3,2.09,16.14,9.05,7.55,14.32,-2,-2,0,17,21,0.77,10.14,5.86,5.45,12.64,1.73,12.91,7.82,5.18,11.0,1,4,0,0,0,0,0
1,3,0,7,2,1.74,13.83,8.09,7.17,12.26,0,3,1.13,8.74,5.13,3.7,12.13,-1,-1,1,15,13,1.38,12.95,6.62,5.1,13.81,2.0,15.57,9.33,7.57,11.81,0,5,1,1,-1,-1,1
-1,0,0,19,9,1.32,12.23,6.86,4.59,12.36,0,4,1.73,15.86,8.91,7.41,13.27,1,1,2,10,15,1.09,11.43,6.09,4.57,13.78,1.74,12.7,7.35,4.7,11.57,0,4,0,0,0,0,0
-1,-2,-1,14,11,1.14,13.48,7.24,4.33,12.57,1,4,2.19,13.95,7.76,6.24,12.71,2,3,2,9,5,1.45,13.64,7.86,6.0,12.45,1.55,11.59,7.09,5.23,14.09,0,0,-1,-1,1,1,-1
2,3,0,3,4,2.57,14.78,8.91,7.09,10.96,0,3,1.09,8.39,4.74,3.48,13.52,2,4,2,2,1,2.3,17.22,10.04,8.57,11.3,0.83,9.48,5.17,2.91,11.87,0,1,-1,-1,1,1,-1
1,3,-1,7,10,2.0,12.1,6.57,6.43,10.9,0,1,1.43,11.62,5.9,5.71,11.9,-2,-2,0,20,14,0.9,13.33,7.1,5.24,14.29,1.57,11.67,6.19,7.0,11.95,0,5,1,1,-1,-1,1
-2,-3,-2,13,16,1.36,10.14,5.55,5.09,14.23,0,2,1.82,14.0,7.09,7.0,11.36,0,-2,0,12,12,0.9,8.95,4.38,4.76,12.9,1.24,13.1,7.76,6.62,9.62,0,2,-1,-1,1,1,0
-1,-2,0,18,17,0.96,8.91,4.96,4.22,14.09,0,3,2.09,16.0,8.83,7.52,14.13,3,4,4,1,3,2.48,19.78,10.91,8.57,10.87,0.83,7.91,4.04,4.17,12.39,0,1,-1,-1,1,1,0
-3,-5,-5,11,7,1.13,10.83,5.74,4.96,11.0,0,1,1.22,11.09,5.43,5.83,12.13,-2,-2,-1,20,14,0.86,13.18,6.95,5.32,14.27,1.59,11.73,6.18,7.14,11.82,0,6,1,1,-1,-1,1
