AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Referee,VCA,VCD,VCH,WHA,WHD,WHH
5,8,0,16,13,2,Man United,1.53,4.0,6.5,1.52,3.6,6.0,22/08/09,E0,5,0,A,3,11,0,16,7,0,0,D,2,Wigan,1.6,3.6,5.6,H Webb,1.5,3.75,7.0,1.53,3.75,7.0
7,13,0,17,11,0,Everton,2.2,3.3,3.4,2.15,3.2,3.1,23/08/09,E0,0,1,H,3,11,0,8,4,0,1,H,1,Burnley,2.3,3.2,3.0,P Dowd,2.25,3.25,3.0,2.25,3.3,3.2
7,10,0,12,4,0,Chelsea,1.57,3.8,6.5,1.5,3.6,6.25,23/08/09,E0,2,0,A,4,11,0,4,1,1,0,A,0,Fulham,1.55,3.7,6.0,A Marriner,1.5,3.75,6.5,1.57,3.5,7.0
8,11,0,17,10,1,Tottenham,2.38,3.25,3.1,2.25,3.25,2.85,23/08/09,E0,2,1,A,4,13,0,17,8,0,0,D,2,West Ham,2.25,3.2,3.05,M Clattenburg,2.3,3.25,3.0,2.3,3.3,3.1
4,11,0,7,4,2,Aston Villa,8.0,4.2,1.44,7.25,4.0,1.4,24/08/09,E0,3,1,A,10,15,0,21,12,2,0,A,3,Liverpool,7.5,4.3,1.4,M Atkinson,8.0,4.0,1.4,8.0,4.0,1.44
2,18,0,11,5,3,West Ham,3.5,3.3,2.2,3.2,3.2,2.1,29/08/09,E0,0,0,D,5,13,0,19,9,0,0,D,1,Blackburn,3.2,3.2,2.2,P Dowd,3.2,3.2,2.2,3.4,3.2,2.2
11,7,0,26,14,1,Liverpool,1.53,4.0,7.0,1.5,3.75,6.0,29/08/09,E0,3,2,A,5,14,1,8,5,1,1,D,3,Bolton,1.55,3.7,6.0,A Wiley,1.57,3.6,6.0,1.53,3.75,7.0
1,5,0,3,0,1,Burnley,21.0,8.0,1.14,15.0,8.0,1.1,29/08/09,E0,0,3,H,10,7,0,27,17,0,1,H,0,Chelsea,15.0,6.0,1.17,M Clattenburg,17.0,6.5,1.14,21.0,7.0,1.14
5,15,0,9,3,6,Arsenal,3.5,3.3,2.2,3.2,3.3,2.05,29/08/09,E0,1,2,H,6,21,0,10,4,1,0,A,3,Man United,3.6,3.3,2.0,M Dean,3.4,3.2,2.1,3.5,3.2,2.15
10,8,0,9,6,2,Sunderland,3.2,3.25,2.38,2.8,3.2,2.3,29/08/09,E0,0,1,H,10,9,0,13,7,0,1,H,0,Stoke,3.0,3.2,2.3,M Jones,3.2,3.2,2.2,3.1,3.1,2.38
3,10,0,11,6,2,Birmingham,9.0,4.75,1.36,8.0,4.25,1.35,29/08/09,E0,1,2,H,7,12,0,20,14,0,0,D,2,Tottenham,8.5,4.5,1.35,P Walton,9.0,4.33,1.36,10.0,4.6,1.33
2,15,0,5,4,2,Hull,3.6,3.3,2.1,3.5,3.15,2.0,29/08/09,E0,1,1,D,8,11,0,24,17,1,0,A,0,Wolves,3.2,3.2,2.2,S Attwell,3.6,3.3,2.0,3.6,3.25,2.1
4,9,0,6,3,2,Fulham,5.25,3.6,1.73,4.75,3.5,1.65,30/08/09,E0,0,2,H,9,9,0,9,4,0,1,H,1,Aston Villa,4.45,3.45,1.77,S Bennett,5.0,3.4,1.7,5.25,3.4,1.73
5,24,0,12,7,5,Wigan,5.25,3.6,1.73,5.0,3.4,1.65,30/08/09,E0,1,2,H,12,11,0,26,14,0,0,D,1,Everton,4.9,3.5,1.7,L Probert,4.5,3.4,1.75,5.25,3.3,1.75
11,7,0,12,8,1,Man City,1.57,3.8,6.5,1.5,3.7,6.0,30/08/09,E0,1,0,A,3,12,0,11,6,1,0,A,2,Portsmouth,1.65,3.5,5.3,H Webb,1.62,3.6,5.5,1.57,3.8,6.0
6,16,0,9,5,2,Wolves,4.5,3.5,1.83,4.0,3.25,1.85,12/09/09,E0,1,3,H,10,13,0,13,10,0,1,H,1,Blackburn,4.0,3.4,1.85,S Bennett,4.33,3.3,1.85,4.5,3.3,1.85
5,10,0,6,3,2,Burnley,15.0,6.5,1.2,11.0,5.55,1.2,12/09/09,E0,0,4,H,7,8,0,27,16,0,2,H,0,Liverpool,13.0,5.3,1.22,L Mason,15.0,5.5,1.2,17.0,6.5,1.17
