AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Referee,VCA,VCD,VCH,WHA,WHD,WHH
0,14,0,16,11,2,West Brom,4.2,3.4,1.91,3.8,3.25,1.95,28/02/11,E0,1,1,D,4,17,0,6,3,0,0,D,2,Stoke,4.0,3.4,1.8,M Oliver,4.33,3.5,1.95,4.0,3.2,2.0
2,14,1,12,7,2,Man United,3.6,3.2,2.2,3.05,3.2,2.25,01/03/11,E0,1,2,H,10,11,0,17,11,1,0,A,3,Chelsea,3.1,3.1,2.2,M Atkinson,3.75,3.3,2.25,3.3,3.25,2.2
6,10,0,6,3,3,Sunderland,7.5,4.33,1.44,7.25,4.1,1.5,05/03/11,E0,0,0,D,5,13,0,14,7,0,0,D,3,Arsenal,7.2,4.3,1.37,A Taylor,8.5,4.4,1.44,6.5,4.2,1.5
3,10,0,9,5,1,West Brom,3.1,3.2,2.38,3.3,3.2,2.3,05/03/11,E0,3,1,A,7,8,0,9,4,0,0,D,3,Birmingham,3.4,3.2,2.0,M Jones,3.3,3.25,2.38,3.1,3.1,2.4
5,11,0,10,6,2,Aston Villa,3.2,3.4,2.25,3.1,3.2,2.25,05/03/11,E0,2,3,H,8,18,0,15,9,1,1,D,5,Bolton,3.0,3.2,2.2,K Friend,3.4,3.4,2.25,3.2,3.3,2.25
7,17,0,12,9,3,Blackburn,5.0,3.6,1.73,5.0,3.4,1.7,05/03/11,E0,2,3,H,9,12,0,15,11,1,1,D,2,Fulham,4.0,3.4,1.8,M Clattenburg,5.5,3.75,1.73,5.5,3.6,1.67
6,8,0,12,5,1,Wigan,9.0,4.75,1.36,9.75,4.75,1.3,05/03/11,E0,0,1,H,4,17,0,7,3,0,1,H,3,Man City,7.0,4.1,1.4,S Attwell,10.0,5.0,1.36,8.0,4.5,1.4
4,14,0,13,8,4,Everton,2.8,3.2,2.6,2.6,3.2,2.6,05/03/11,E0,2,1,A,5,12,0,10,8,2,1,A,2,Newcastle,2.75,3.3,2.3,H Webb,2.75,3.4,2.62,2.75,3.2,2.6
3,10,0,7,5,3,Stoke,3.25,3.3,2.25,3.2,3.2,2.2,05/03/11,E0,0,3,H,7,9,0,15,10,0,2,H,0,West Ham,3.3,3.3,2.0,A Marriner,3.5,3.3,2.25,3.3,3.2,2.25
4,12,0,12,7,3,Man United,2.6,3.2,2.8,2.55,3.25,2.85,06/03/11,E0,1,3,H,6,12,0,17,10,0,2,H,2,Liverpool,2.3,3.2,2.8,P Dowd,2.6,3.3,2.88,2.5,3.2,2.88
4,11,0,15,10,3,Tottenham,2.38,3.3,3.0,2.4,3.3,3.0,06/03/11,E0,3,3,D,7,10,0,13,4,2,2,D,0,Wolves,2.3,3.2,2.8,M Halsey,2.5,3.3,3.1,2.45,3.25,2.9
13,8,0,18,11,0,Chelsea,1.3,5.5,10.0,1.3,5.25,8.0,07/03/11,E0,3,1,A,3,5,0,14,5,1,0,A,0,Blackpool,1.35,4.5,7.3,M Dean,1.3,6.0,11.0,1.3,5.5,9.0
1,12,0,5,3,3,Birmingham,6.5,4.0,1.53,7.0,3.65,1.5,09/03/11,E0,1,1,D,9,8,0,17,11,1,1,D,1,Everton,5.0,3.6,1.6,P Walton,7.0,4.0,1.53,6.5,3.6,1.57
3,19,0,8,5,3,Wolves,4.5,3.5,1.83,4.65,3.4,1.75,19/03/11,E0,1,0,A,8,15,0,11,5,1,0,A,1,Aston Villa,3.8,3.4,1.85,P Dowd,4.4,3.5,1.91,4.0,3.5,1.91
3,12,0,8,6,1,Blackpool,4.5,3.6,1.8,4.5,3.5,1.75,19/03/11,E0,2,2,D,8,15,0,24,7,2,0,A,1,Blackburn,3.8,3.4,1.85,H Webb,4.4,3.8,1.83,4.0,3.8,1.83
5,19,0,12,6,0,Fulham,4.0,3.25,2.0,3.8,3.25,1.95,19/03/11,E0,1,2,H,7,15,0,16,12,0,1,H,2,Everton,4.0,3.4,1.8,M Oliver,4.0,3.3,2.05,3.8,3.25,2.05
5,11,0,11,6,0,Bolton,9.0,4.75,1.36,7.75,4.4,1.38,19/03/11,E0,0,1,H,12,8,1,14,8,0,0,D,0,Man United,7.3,4.5,1.35,A Marriner,9.0,4.75,1.4,7.5,4.6,1.4
7,9,0,14,9,1,Newcastle,3.4,3.25,2.2,3.1,3.25,2.2,19/03/11,E0,0,4,H,3,16,0,8,6,0,1,H,1,Stoke,3.25,3.15,2.1,L Mason,3.6,3.25,2.2,3.3,3.2,2.25
2,13,0,11,5,4,West Ham,6.0,4.0,1.57,5.75,3.8,1.55,19/03/11,E0,0,0,D,6,6,0,26,14,0,0,D,0,Tottenham,5.0,3.6,1.6,M Dean,6.0,4.2,1.62,5.5,4.0,1.57
7,7,0,18,11,3,Arsenal,1.73,3.6,5.0,1.7,3.5,4.75,19/03/11,E0,2,2,D,2,9,0,4,3,0,1,H,1,West Brom,1.67,3.5,4.5,S Attwell,1.8,3.75,5.0,1.8,3.75,4.2
4,13,0,7,4,1,Birmingham,3.6,3.3,2.1,3.4,3.2,2.1,19/03/11,E0,1,2,H,9,13,0,16,13,1,1,D,3,Wigan,2.9,3.2,2.25,L Probert,3.8,3.3,2.15,3.6,3.25,2.1
1,13,0,5,2,5,Man City,6.0,3.75,1.62,5.5,3.7,1.6,20/03/11,E0,0,2,H,5,16,0,16,11,0,0,D,2,Chelsea,4.4,3.5,1.7,C Foy,6.0,3.8,1.67,6.0,3.6,1.62
6,7,0,10,4,3,Liverpool,2.75,3.2,2.63,2.65,3.1,2.6,20/03/11,E0,2,0,A,3,11,1,3,1,1,0,A,3,Sunderland,2.4,3.2,2.7,K Friend,2.88,3.25,2.62,2.8,3.1,2.62
4,9,1,7,2,2,Blackburn,11.0,6.0,1.25,10.0,5.5,1.25,02/04/11,E0,0,0,D,11,10,0,19,11,0,0,D,1,Arsenal,10.0,5.0,1.25,P Dowd,15.0,6.5,1.22,12.0,5.5,1.25
9,16,0,19,12,2,Bolton,2.88,3.25,2.5,2.85,3.2,2.4,02/04/11,E0,1,2,H,8,11,0,9,6,0,1,H,0,Birmingham,2.9,3.3,2.2,M Oliver,3.0,3.25,2.6,2.7,3.25,2.6
7,16,0,7,5,2,Aston Villa,4.33,3.6,1.83,4.3,3.4,1.8,02/04/11,E0,2,2,D,5,13,0,14,7,0,1,H,3,Everton,3.8,3.4,1.85,M Jones,4.6,3.6,1.85,4.2,3.6,1.83
4,10,0,13,9,3,Wolves,4.0,3.4,1.95,4.0,3.25,1.9,02/04/11,E0,1,4,H,5,19,0,17,13,0,2,H,5,Newcastle,3.3,3.3,2.0,M Dean,4.2,3.5,2.0,3.8,3.5,1.95
12,10,0,20,10,2,Chelsea,1.67,3.6,5.5,1.6,3.75,5.25,02/04/11,E0,1,1,D,5,9,0,13,6,1,1,D,1,Stoke,1.6,3.6,5.0,P Walton,1.73,3.75,5.5,1.73,3.3,5.5
5,15,0,13,9,3,Liverpool,2.38,3.3,3.0,2.25,3.2,3.1,02/04/11,E0,1,2,H,0,10,0,17,14,0,0,D,2,West Brom,2.2,3.3,2.9,M Atkinson,2.4,3.3,3.12,2.4,3.2,3.0
16,9,0,18,9,2,Man United,1.8,3.6,4.5,1.7,3.6,4.6,02/04/11,E0,4,2,A,0,10,0,6,2,0,2,H,1,West Ham,1.85,3.4,3.8,L Mason,1.8,3.75,4.75,1.83,3.6,4.2
2,13,0,10,6,1,Tottenham,2.4,3.25,3.0,2.25,3.25,3.05,02/04/11,E0,0,0,D,8,11,0,14,5,0,0,D,1,Wigan,2.3,3.3,2.75,A Marriner,2.38,3.3,3.2,2.38,3.3,2.9
7,5,0,10,6,1,Blackpool,6.0,4.2,1.53,6.5,3.8,1.5,03/04/11,E0,0,3,H,4,14,0,13,11,0,2,H,2,Fulham,5.4,3.7,1.55,S Attwell,6.0,4.4,1.57,6.0,3.75,1.57
5,20,0,8,4,3,Sunderland,7.0,4.0,1.5,7.5,3.85,1.45,03/04/11,E0,0,5,H,6,9,0,14,12,0,2,H,2,Man City,7.5,3.9,1.4,H Webb,7.5,4.0,1.53,6.0,4.0,1.53
2,10,0,6,5,3,Birmingham,4.0,3.3,2.0,4.0,3.25,1.9,09/04/11,E0,1,1,D,8,10,0,15,5,1,1,D,2,Blackburn,3.5,3.1,2.0,C Foy,4.2,3.4,2.0,4.0,3.1,2.05
10,10,0,14,8,0,West Ham,3.4,3.25,2.2,3.4,3.2,2.1,09/04/11,E0,0,3,H,5,6,0,23,12,0,2,H,1,Bolton,3.7,3.3,1.9,L Probert,3.6,3.3,2.25,3.2,3.2,2.25
5,12,0,11,7,2,Wigan,17.0,6.0,1.2,15.0,5.5,1.2,09/04/11,E0,0,1,H,10,11,0,21,13,0,0,D,1,Chelsea,10.0,5.0,1.25,H Webb,17.0,6.5,1.22,15.0,5.0,1.25
3,8,0,12,5,0,Fulham,7.5,4.33,1.44,7.0,4.0,1.45,09/04/11,E0,0,2,H,8,12,0,16,12,0,2,H,0,Man United,7.0,4.1,1.4,M Jones,8.5,4.4,1.44,7.5,3.75,1.5
2,11,0,12,8,1,West Brom,3.5,3.2,2.2,3.4,3.2,2.1,09/04/11,E0,3,2,A,5,10,0,7,4,1,2,H,3,Sunderland,3.3,3.1,2.1,P Walton,3.5,3.3,2.25,3.2,3.2,2.3
5,16,0,10,5,3,Stoke,5.0,3.6,1.73,5.0,3.4,1.7,09/04/11,E0,2,3,H,10,11,0,9,8,2,3,H,1,Tottenham,4.4,3.5,1.7,K Friend,5.5,3.6,1.75,5.0,3.25,1.8
6,14,0,9,6,1,Everton,2.8,3.25,2.6,2.75,3.2,2.45,09/04/11,E0,3,0,A,13,13,0,11,7,3,0,A,0,Wolves,2.6,3.2,2.5,P Dowd,2.88,3.3,2.62,2.9,3.0,2.62
2,10,0,6,4,2,Newcastle,4.33,3.6,1.83,4.3,3.4,1.8,10/04/11,E0,0,1,H,9,8,0,13,7,0,1,H,2,Aston Villa,3.7,3.3,1.9,S Attwell,4.6,3.75,1.83,4.2,3.6,1.83
4,9,0,16,7,2,Arsenal,1.36,5.0,8.5,1.35,4.5,8.25,10/04/11,E0,3,1,A,6,13,0,12,6,2,0,A,2,Blackpool,1.45,3.9,6.5,L Mason,1.4,5.0,8.5,1.4,5.0,7.0
2,3,0,13,4,0,Man City,2.8,3.2,2.6,2.9,3.2,2.35,11/04/11,E0,0,3,H,6,6,0,15,7,0,3,H,1,Liverpool,2.8,3.2,2.3,M Halsey,2.88,3.3,2.6,2.88,3.2,2.5
9,10,0,15,7,0,Sunderland,3.4,3.2,2.25,3.3,3.3,2.1,16/04/11,E0,0,2,H,4,7,0,10,4,0,1,H,0,Birmingham,3.4,3.2,2.0,P Dowd,3.4,3.3,2.3,3.3,3.1,2.3
3,12,0,9,5,2,Wigan,3.0,3.5,2.3,2.9,3.3,2.3,16/04/11,E0,3,1,A,5,13,0,14,9,2,0,A,2,Blackpool,2.75,3.3,2.3,P Walton,3.1,3.5,2.38,3.1,3.3,2.3
1,17,0,4,2,3,Blackburn,5.5,3.75,1.67,4.6,3.6,1.7,16/04/11,E0,0,2,H,10,9,0,17,7,0,0,D,2,Everton,4.0,3.4,1.8,K Friend,5.5,3.75,1.7,5.5,3.3,1.73
5,10,0,19,11,0,Chelsea,1.7,3.6,5.5,1.65,3.5,5.25,16/04/11,E0,3,1,A,3,7,0,12,6,3,1,A,1,West Brom,1.7,3.5,4.4,L Probert,1.7,3.75,5.5,1.73,3.3,5.5
11,3,0,21,11,0,Aston Villa,3.25,3.3,2.25,3.1,3.3,2.2,16/04/11,E0,2,1,A,5,8,0,12,7,1,1,D,0,West Ham,3.2,3.2,2.1,M Halsey,3.3,3.4,2.3,3.0,3.2,2.38
3,13,0,9,5,4,Liverpool,5.0,3.6,1.73,4.75,3.5,1.7,17/04/11,E0,1,1,D,10,13,0,12,6,0,0,D,2,Arsenal,4.3,3.4,1.75,A Marriner,5.25,3.8,1.7,5.5,3.1,1.8
7,10,0,18,8,2,Man United,1.67,3.6,5.5,1.62,3.75,5.0,19/04/11,E0,0,0,D,6,9,0,12,5,0,0,D,2,Newcastle,1.65,3.4,4.8,L Probert,1.67,4.0,5.5,1.7,3.6,5.0
4,11,0,6,3,1,Birmingham,15.0,6.5,1.2,15.0,5.5,1.2,20/04/11,E0,1,3,H,7,9,0,17,7,0,2,H,0,Chelsea,11.0,5.3,1.22,M Jones,17.0,6.5,1.22,13.0,6.0,1.22
6,13,0,13,9,3,Arsenal,2.4,3.4,2.88,2.4,3.25,2.8,20/04/11,E0,3,3,D,7,8,0,16,9,3,2,A,0,Tottenham,2.5,3.3,2.5,M Atkinson,2.6,3.4,2.88,2.5,3.3,2.8
8,9,0,4,3,3,Stoke,4.5,3.6,1.8,4.5,3.45,1.75,23/04/11,E0,1,1,D,7,9,0,7,2,1,1,D,0,Aston Villa,4.0,3.4,1.8,C Foy,4.6,3.6,1.85,4.0,3.5,1.91
4,8,0,9,6,1,Newcastle,2.38,3.5,2.88,2.35,3.25,2.85,23/04/11,E0,1,1,D,4,17,0,18,7,1,1,D,1,Blackpool,2.4,3.35,2.6,M Atkinson,2.4,3.5,3.0,2.5,3.3,2.8
7,13,0,12,7,2,West Ham,15.0,6.5,1.2,11.0,5.75,1.22,23/04/11,E0,0,3,H,5,7,0,16,11,0,1,H,1,Chelsea,10.0,5.0,1.25,P Dowd,15.0,7.0,1.2,12.0,5.5,1.25
2,12,0,10,6,0,Birmingham,7.5,4.33,1.44,7.75,4.2,1.4,23/04/11,E0,0,5,H,5,7,0,17,13,0,2,H,1,Liverpool,5.7,3.8,1.5,H Webb,8.5,4.4,1.44,8.0,3.75,1.5
1,9,0,5,3,2,Everton,7.5,4.33,1.44,8.0,3.75,1.45,23/04/11,E0,0,1,H,13,10,0,21,12,0,0,D,1,Man United,6.5,3.9,1.45,P Walton,8.0,4.5,1.44,8.0,3.75,1.5
3,9,0,11,7,2,Wigan,3.75,3.25,2.1,3.65,3.25,2.0,23/04/11,E0,2,4,H,7,11,0,11,7,0,0,D,1,Sunderland,3.2,3.2,2.1,L Probert,4.0,3.3,2.1,3.5,3.2,2.15
1,9,0,10,4,1,West Brom,6.0,4.0,1.57,6.25,3.9,1.5,23/04/11,E0,2,2,D,11,8,0,19,9,1,1,D,1,Tottenham,4.6,3.5,1.65,S Attwell,6.5,4.2,1.57,6.0,3.6,1.62
5,17,0,15,5,2,Fulham,2.88,3.25,2.5,2.75,3.2,2.45,23/04/11,E0,1,1,D,3,15,0,12,3,0,1,H,2,Wolves,2.8,3.2,2.3,M Oliver,3.0,3.25,2.6,2.9,3.2,2.5
9,14,0,17,7,3,Arsenal,1.75,3.8,4.5,1.7,3.6,4.6,24/04/11,E0,1,2,H,3,13,0,11,10,0,1,H,3,Bolton,1.75,3.4,4.3,M Jones,1.75,3.8,5.0,1.8,3.5,4.5
6,15,0,10,5,3,Man City,2.1,3.3,3.6,2.0,3.3,3.6,25/04/11,E0,1,0,A,4,15,0,12,6,0,0,D,2,Blackburn,2.1,3.3,3.1,A Marriner,2.15,3.4,3.8,2.15,3.2,3.5
11,10,0,5,1,2,Wolves,5.0,3.4,1.8,4.33,3.4,1.8,26/04/11,E0,0,3,H,7,12,0,17,8,0,2,H,3,Stoke,3.9,3.3,1.85,L Mason,5.0,3.5,1.83,4.33,3.5,1.83
7,8,0,14,6,1,Bolton,4.75,3.5,1.8,4.25,3.5,1.78,27/04/11,E0,0,3,H,10,12,0,18,7,0,1,H,1,Fulham,4.0,3.4,1.8,A Taylor,4.6,3.3,1.8,4.33,3.5,1.83
10,9,0,11,3,1,Bolton,4.0,3.5,1.91,3.8,3.4,1.9,30/04/11,E0,0,1,H,3,7,0,17,8,0,1,H,2,Blackburn,3.8,3.4,1.85,M Dean,4.0,3.5,2.05,3.6,3.4,2.05
8,11,0,9,6,0,Stoke,2.63,3.4,2.63,2.4,3.3,2.75,30/04/11,E0,0,0,D,4,10,0,11,6,0,0,D,0,Blackpool,2.5,3.3,2.5,M Clattenburg,2.62,3.5,2.75,2.5,3.6,2.62
5,11,0,12,7,1,Tottenham,7.5,4.33,1.44,7.0,4.0,1.45,30/04/11,E0,1,2,H,6,11,0,16,10,1,1,D,3,Chelsea,5.2,3.8,1.55,A Marriner,7.5,4.5,1.5,6.5,4.2,1.5
4,12,0,9,6,0,Fulham,2.8,3.2,2.6,2.8,3.15,2.45,30/04/11,E0,3,0,A,5,7,0,11,7,1,0,A,1,Sunderland,3.0,3.0,2.3,M Atkinson,2.88,3.25,2.62,2.9,3.0,2.6
7,12,0,11,6,1,Aston Villa,3.0,3.3,2.38,3.1,3.25,2.2,30/04/11,E0,1,2,H,3,12,1,8,4,1,0,A,3,West Brom,2.9,3.0,2.4,P Dowd,3.2,3.4,2.38,3.1,3.4,2.25
8,12,0,3,3,2,Everton,2.6,3.25,2.8,2.4,3.2,2.85,30/04/11,E0,1,1,D,3,12,0,13,9,0,1,H,2,Wigan,2.5,3.3,2.5,L Mason,2.62,3.3,2.88,2.6,3.2,2.75
6,7,0,11,7,3,Man United,2.88,3.25,2.5,2.7,3.2,2.5,01/05/11,E0,0,1,H,3,15,0,9,2,0,0,D,2,Arsenal,2.6,3.2,2.5,C Foy,2.88,3.3,2.6,2.9,3.25,2.45
2,16,0,7,2,3,Wolves,3.6,3.3,2.1,3.5,3.25,2.05,01/05/11,E0,1,1,D,0,10,1,8,1,1,1,D,3,Birmingham,3.3,3.3,2.0,K Friend,4.0,3.3,2.1,3.5,3.25,2.15
12,10,0,7,3,2,Newcastle,7.5,4.33,1.44,6.5,4.15,1.45,01/05/11,E0,0,3,H,3,15,0,9,5,0,1,H,1,Liverpool,7.0,4.1,1.4,P Walton,7.5,4.4,1.5,6.5,4.2,1.5
5,8,0,7,4,1,West Ham,9.0,4.5,1.4,8.0,4.5,1.36,01/05/11,E0,1,2,H,8,13,0,19,12,1,2,H,3,Man City,7.0,4.0,1.42,H Webb,9.0,4.75,1.4,7.5,4.75,1.4
5,11,0,7,4,0,Wigan,4.5,3.6,1.8,4.5,3.45,1.75,07/05/11,E0,1,1,D,2,6,0,10,7,1,1,D,2,Aston Villa,3.6,3.4,1.9,M Jones,4.75,3.6,1.8,4.5,3.75,1.75
5,10,0,10,6,0,Sunderland,4.5,3.5,1.83,4.6,3.4,1.75,07/05/11,E0,2,1,A,5,14,0,17,9,1,0,A,1,Bolton,3.8,3.4,1.85,K Friend,5.0,3.6,1.8,4.5,3.4,1.83
6,15,0,12,7,2,Man City,2.7,3.2,2.7,2.6,3.2,2.6,07/05/11,E0,1,2,H,11,13,0,10,6,1,0,A,4,Everton,2.5,3.2,2.6,P Dowd,2.75,3.3,2.75,2.7,3.0,2.8
2,12,1,5,2,4,Birmingham,4.2,3.4,1.91,4.1,3.35,1.85,07/05/11,E0,1,2,H,8,10,0,19,14,1,2,H,1,Newcastle,3.2,3.4,2.0,C Foy,4.33,3.5,1.95,4.0,3.2,2.0
6,13,0,13,7,2,Blackpool,10.0,5.5,1.3,8.5,5.25,1.29,07/05/11,E0,1,1,D,7,5,0,20,11,0,0,D,3,Tottenham,10.0,5.0,1.25,L Probert,10.5,6.0,1.3,9.0,5.0,1.33
3,14,0,8,4,0,Blackburn,3.8,3.6,1.95,3.6,3.4,1.95,07/05/11,E0,1,1,D,7,7,0,24,15,1,0,A,3,West Ham,3.6,3.4,1.9,P Walton,4.0,3.6,2.0,3.6,3.4,2.05
2,14,0,19,11,4,Chelsea,3.1,3.25,2.38,3.1,3.25,2.2,08/05/11,E0,1,2,H,7,12,0,13,8,0,2,H,2,Man United,3.2,3.2,2.1,H Webb,3.25,3.3,2.38,3.25,3.0,2.4
5,10,0,14,5,2,Arsenal,1.67,3.75,5.5,1.6,3.75,5.25,08/05/11,E0,1,3,H,2,7,0,12,7,0,2,H,1,Stoke,1.67,3.5,4.6,M Halsey,1.67,4.0,5.5,1.73,3.5,5.0
4,7,0,14,6,1,West Brom,3.5,3.4,2.1,3.3,3.3,2.1,08/05/11,E0,1,3,H,8,9,0,14,10,0,2,H,3,Wolves,2.9,3.3,2.2,M Dean,3.5,3.4,2.25,3.4,3.2,2.2
5,11,0,16,11,2,Liverpool,2.5,3.25,2.88,2.3,3.25,2.95,09/05/11,E0,5,2,A,6,18,0,10,7,3,0,A,5,Fulham,2.3,3.2,2.8,L Mason,2.5,3.3,3.0,2.5,3.2,2.8
8,8,0,14,7,1,Tottenham,4.2,3.4,1.91,4.0,3.3,1.9,10/05/11,E0,0,1,H,2,7,0,7,4,0,1,H,1,Man City,3.2,3.4,2.0,M Dean,4.4,3.4,1.91,4.0,3.3,1.95
6,11,0,9,4,0,Man United,1.73,3.6,5.0,1.7,3.4,5.0,14/05/11,E0,1,1,D,2,11,0,6,2,0,1,H,3,Blackburn,1.8,3.1,4.5,P Dowd,1.73,3.6,5.5,1.75,3.4,5.0
6,12,0,17,9,4,Bolton,3.25,3.4,2.2,3.2,3.4,2.1,14/05/11,E0,3,4,H,5,16,0,12,8,2,3,H,2,Blackpool,3.2,3.4,2.0,A Marriner,3.4,3.6,2.2,3.1,3.5,2.2
5,19,0,10,6,0,Wolves,2.88,3.25,2.5,2.8,3.25,2.4,14/05/11,E0,3,1,A,5,8,0,14,9,1,1,D,0,Sunderland,2.6,3.3,2.4,M Jones,2.88,3.4,2.5,2.75,3.3,2.5
12,9,1,23,10,2,Everton,2.75,3.25,2.63,2.7,3.2,2.5,14/05/11,E0,0,1,H,2,15,0,14,9,0,1,H,2,West Brom,2.5,3.3,2.5,A Taylor,2.75,3.3,2.75,2.7,3.1,2.7
2,10,0,8,5,4,Aston Villa,8.5,5.0,1.36,8.25,4.5,1.35,15/05/11,E0,2,1,A,13,9,0,24,15,2,0,A,1,Arsenal,10.0,5.0,1.25,M Oliver,9.0,5.25,1.36,8.0,4.5,1.4
5,15,0,18,9,5,Fulham,3.4,3.25,2.2,3.3,3.2,2.15,15/05/11,E0,2,0,A,5,7,0,7,2,1,0,A,0,Birmingham,3.6,3.4,1.9,P Walton,3.6,3.3,2.25,3.3,3.1,2.3
4,13,0,13,9,2,Newcastle,11.0,6.0,1.25,11.0,5.75,1.22,15/05/11,E0,2,2,D,7,17,0,15,7,1,1,D,4,Chelsea,11.0,5.3,1.22,L Mason,13.0,6.5,1.25,15.0,5.0,1.25
5,7,0,8,4,1,Tottenham,4.75,3.8,1.73,4.5,3.65,1.7,15/05/11,E0,2,0,A,11,13,0,10,2,1,0,A,2,Liverpool,3.8,3.4,1.85,H Webb,5.0,3.75,1.75,4.5,3.5,1.8
6,10,0,13,10,1,West Ham,3.5,3.4,2.1,3.4,3.35,2.05,15/05/11,E0,2,3,H,10,7,0,19,10,2,0,A,1,Wigan,3.6,3.4,1.9,M Dean,3.6,3.5,2.15,3.4,3.3,2.15
3,9,0,4,2,3,Stoke,9.0,4.75,1.36,8.75,4.6,1.34,17/05/11,E0,0,3,H,4,6,0,16,9,0,1,H,0,Man City,7.3,4.5,1.35,L Probert,9.0,4.75,1.4,8.5,4.33,1.4
5,12,0,9,4,2,Liverpool,2.25,3.4,3.2,2.15,3.35,3.15,22/05/11,E0,0,1,H,4,12,0,10,8,0,1,H,2,Aston Villa,2.3,3.2,2.8,L Probert,2.3,3.4,3.25,2.3,3.2,2.62
5,10,0,16,10,1,Man City,1.7,3.75,5.0,1.6,3.8,5.15,22/05/11,E0,2,0,A,6,11,1,16,8,1,0,A,1,Bolton,1.7,3.5,4.4,C Foy,1.7,3.8,5.25,1.73,3.5,4.33
5,14,0,19,9,2,Chelsea,2.38,3.25,3.1,2.15,3.4,3.1,22/05/11,E0,0,1,H,6,12,1,11,3,0,0,D,3,Everton,2.4,3.1,2.8,P Walton,2.38,3.4,3.1,2.3,3.2,2.62
3,5,0,12,6,1,Arsenal,1.95,3.6,3.75,1.9,3.4,3.8,22/05/11,E0,2,2,D,5,12,1,10,6,1,1,D,2,Fulham,2.0,3.3,3.3,M Atkinson,2.0,3.75,3.75,1.95,3.4,3.5
8,5,0,14,7,1,Blackpool,5.5,4.0,1.6,5.25,4.1,1.55,22/05/11,E0,2,4,H,8,8,0,18,11,1,1,D,2,Man United,4.0,3.8,1.65,M Dean,5.5,4.2,1.62,5.0,3.8,1.57
6,8,0,13,7,0,West Brom,3.75,3.5,2.0,3.6,3.45,1.95,22/05/11,E0,3,3,D,7,5,0,15,10,0,2,H,0,Newcastle,3.7,3.3,1.9,M Halsey,3.75,3.5,2.05,3.3,3.3,1.91
3,9,0,11,9,4,Wigan,2.4,3.6,2.75,2.3,3.5,2.75,22/05/11,E0,1,0,A,5,10,0,11,5,0,0,D,1,Stoke,2.3,3.2,2.8,A Marriner,2.5,3.6,2.75,2.3,3.2,2.7
5,15,0,7,3,3,Birmingham,6.5,4.0,1.53,6.0,4.0,1.5,22/05/11,E0,1,2,H,7,5,0,22,16,0,0,D,0,Tottenham,4.6,4.0,1.55,M Clattenburg,6.5,4.4,1.53,5.0,3.6,1.53
6,8,0,17,12,2,Sunderland,3.75,3.5,2.0,3.65,3.4,1.95,22/05/11,E0,3,0,A,4,7,0,17,12,1,0,A,0,West Ham,3.3,3.3,2.0,A Taylor,4.0,3.6,2.0,3.25,3.3,1.95
3,9,0,13,10,1,Blackburn,3.75,3.0,2.2,3.8,3.0,2.05,22/05/11,E0,3,2,A,8,12,0,12,5,3,0,A,3,Wolves,3.3,3.3,2.0,H Webb,4.0,3.12,2.15,3.3,3.1,2.0
6,10,0,13,4,2,Wolves,3.5,3.2,2.2,3.6,3.3,2.0,13/08/11,E0,2,1,A,12,14,0,16,8,1,1,D,4,Blackburn,3.3,3.3,2.0,K Friend,3.6,3.4,2.15,3.5,3.1,2.2
3,18,0,7,1,4,Aston Villa,3.5,3.2,2.2,3.45,3.3,2.05,13/08/11,E0,0,0,D,2,10,0,13,9,0,0,D,2,Fulham,3.0,3.2,2.2,L Mason,3.75,3.3,2.15,3.4,3.2,2.2
3,12,0,15,6,4,Sunderland,7.0,3.6,1.57,7.5,3.85,1.45,13/08/11,E0,1,1,D,6,17,0,11,4,0,1,H,4,Liverpool,7.0,4.1,1.4,P Dowd,7.5,4.0,1.53,6.5,3.75,1.57
5,11,1,9,4,5,Arsenal,2.1,3.25,3.75,2.0,3.25,3.65,13/08/11,E0,0,0,D,2,9,0,6,1,0,0,D,3,Newcastle,1.9,3.3,3.7,P Walton,2.1,3.4,3.8,2.05,3.2,3.75
2,16,0,13,7,2,Bolton,3.0,3.25,2.4,3.05,3.25,2.25,13/08/11,E0,4,0,A,3,9,1,13,7,1,0,A,1,QPR,2.8,3.2,2.3,M Atkinson,3.3,3.3,2.38,3.1,3.1,2.4
3,8,0,13,3,2,Norwich,3.5,3.2,2.2,3.5,3.25,2.05,13/08/11,E0,1,1,D,7,11,0,18,11,1,1,D,2,Wigan,3.7,3.3,1.9,S Attwell,3.5,3.4,2.2,3.4,3.2,2.2
6,12,0,20,11,2,Chelsea,1.7,3.5,5.5,1.62,3.45,5.75,14/08/11,E0,0,0,D,4,12,0,6,3,0,0,D,2,Stoke,1.55,3.7,5.4,M Halsey,1.7,3.75,5.5,1.7,3.4,5.5
5,9,0,11,5,2,Man United,1.53,4.0,6.5,1.5,3.8,6.5,14/08/11,E0,2,1,A,6,16,0,14,8,1,1,D,3,West Brom,1.55,3.7,5.4,M Jones,1.53,4.2,7.0,1.53,3.75,7.0
4,2,0,8,5,0,Swansea,13.0,5.0,1.29,10.0,5.5,1.25,15/08/11,E0,0,4,H,7,9,0,26,19,0,0,D,0,Man City,11.0,5.3,1.22,M Dean,13.0,6.0,1.25,13.0,4.5,1.3
