GameNumber,HomeTeam,AwayTeam,Home_Past3_Form,Home_Past5_Form,Home_Streak,Home_Current_Standing,Home_Past_Standing,Home_Goals_Per_Game,Home_Shots_Per_Game,Home_SOT_Per_Game,Home_Corners_Per_Game,Home_Fouls_Per_Game,Home_Reds_Last2,Home_Yellows_Last2,Away_Past3_Form,Away_Past5_Form,Away_Streak,Away_Current_Standing,Away_Past_Standing,Away_Goals_Per_Game,Away_Shots_Per_Game,Away_SOT_Per_Game,Away_Corners_Per_Game,Away_Fouls_Per_Game,Away_Reds_Last2,Away_Yellows_Last2,Home_H2H_Past3,Home_H2H_Past5,Away_H2H_Past3,Away_H2H_Past5,Home_Goals,Away_Goals,Match_Result
640,Man United,Swansea,-3,-2,-3,8,1,1.12,11.0,4.38,6.38,12.12,0,2,0,-1,-1,12,9,1.38,13.0,4.38,6.62,8.25,0,5,2,2,-2,-2,2,0,1
641,Southampton,West Brom,-2,-2,-1,15,14,1.57,13.43,4.14,5.86,11.14,0,4,-1,0,1,11,13,1.14,13.29,4.14,5.43,9.57,0,1,-1,-1,1,1,1,0,1
642,Tottenham,Crystal Palace,3,2,3,7,2,1.0,16.75,5.75,6.62,9.25,0,1,2,1,0,14,21,0.83,12.33,3.67,5.0,10.33,0,2,0,0,0,0,2,0,1
643,Newcastle,Man City,-1,1,-1,7,12,1.0,12.5,5.17,3.17,12.83,1,2,2,2,1,2,4,2.86,18.14,5.43,7.14,10.0,0,7,-2,-2,2,2,0,2,-1
644,Stoke,Liverpool,1,1,0,16,17,1.33,11.17,3.0,3.67,13.67,0,8,3,3,3,2,6,2.5,19.12,7.12,6.0,12.0,0,1,0,0,0,0,3,5,-1
645,Cardiff,Norwich,-3,-4,-3,20,21,0.29,10.86,3.0,4.29,9.57,0,3,0,0,-1,17,11,1.14,11.14,3.71,3.29,9.86,1,3,0,0,0,0,2,1,1
646,Everton,Aston Villa,1,2,1,10,8,0.86,13.57,3.43,5.14,10.0,0,2,1,2,1,8,10,1.0,12.0,3.67,4.0,12.17,0,5,0,0,0,0,2,1,1
647,Fulham,Southampton,1,-1,-1,11,16,1.14,16.14,5.86,7.0,9.43,0,5,0,-2,1,10,14,1.5,14.0,4.25,5.62,11.12,0,5,0,0,0,0,0,3,-1
648,Hull,Tottenham,-2,-2,-2,15,14,0.75,11.12,1.88,3.12,11.12,0,4,3,4,4,5,2,1.11,16.0,5.56,6.44,9.56,0,2,0,0,0,0,1,1,0
649,Newcastle,Sunderland,-1,-1,-2,9,12,0.86,12.57,5.14,3.43,13.57,1,4,-1,-1,1,20,8,1.43,10.0,2.71,4.57,11.71,0,7,0,0,0,0,0,3,-1
650,Stoke,Man United,0,0,-1,17,17,1.57,11.43,3.14,4.71,13.14,0,5,-1,-2,1,7,1,1.22,11.56,4.44,6.0,11.78,0,2,-2,-2,2,2,2,1,1
651,West Ham,Swansea,-1,-3,1,20,5,1.14,12.14,3.14,4.71,10.0,2,4,-2,-2,-2,16,9,1.22,13.0,4.11,6.44,8.44,0,4,1,1,-1,-1,2,0,1
652,Arsenal,Crystal Palace,2,2,1,5,7,1.29,15.29,5.29,5.71,10.86,0,1,0,1,-1,18,21,0.71,12.57,3.43,5.86,10.57,0,4,0,0,0,0,2,0,1
653,West Brom,Liverpool,-1,-2,-1,16,13,1.0,12.12,3.88,5.25,10.5,0,2,3,3,4,1,6,2.78,18.44,7.33,5.56,11.56,0,2,2,2,-2,-2,1,1,0
654,Man City,Chelsea,2,4,2,2,4,2.75,17.62,5.5,7.0,10.62,0,7,1,3,2,4,3,2.38,15.88,5.62,6.62,10.62,0,2,0,0,0,0,0,1,-1
655,Aston Villa,West Ham,-1,1,-1,10,10,1.0,10.86,3.29,3.57,13.0,0,3,1,-1,2,12,5,1.25,12.0,3.25,5.12,9.62,2,4,0,0,0,0,0,2,-1
656,Chelsea,Newcastle,3,3,3,3,3,2.22,16.11,5.67,6.56,10.89,0,4,-3,-3,-3,10,12,0.75,14.5,5.75,3.88,14.12,0,6,-3,-2,3,2,3,0,1
657,Crystal Palace,West Brom,-2,0,-2,18,21,0.62,12.25,3.25,5.75,11.0,0,4,0,-2,0,13,13,1.0,12.11,3.89,5.0,10.78,0,6,-1,-1,1,1,3,1,1
658,Liverpool,Arsenal,2,4,0,1,6,2.6,17.8,6.9,5.4,11.9,0,3,2,2,2,4,7,1.38,14.75,5.38,5.75,10.62,0,2,-3,-4,3,4,5,1,1
659,Norwich,Man City,-2,-2,-2,20,11,1.12,13.12,4.0,4.62,9.75,0,6,1,2,-1,3,4,2.44,18.44,5.22,7.56,10.67,0,5,-2,-2,2,2,0,0,0
660,Southampton,Stoke,1,0,2,6,14,1.67,14.33,4.33,5.56,10.89,0,4,0,1,1,13,17,1.62,11.62,3.5,5.0,13.75,0,3,0,0,0,0,2,2,0
661,Swansea,Cardiff,-3,-2,-3,18,9,1.1,13.7,3.7,6.9,8.3,0,2,-1,-2,1,20,21,0.5,11.25,3.25,4.62,9.38,0,2,-1,-1,1,1,3,0,1
662,Sunderland,Hull,1,-1,2,16,8,1.62,10.75,3.0,4.38,11.88,0,5,-2,-3,0,18,14,0.78,10.89,2.11,3.22,11.33,0,3,0,0,0,0,0,2,-1
663,Man United,Fulham,-1,-3,-1,7,1,1.2,12.3,4.4,6.4,11.3,0,2,-1,-1,-2,18,16,1.0,15.12,5.62,6.62,9.5,0,3,3,3,-3,-3,2,2,0
664,Tottenham,Everton,2,4,0,5,2,1.1,16.3,5.3,6.8,9.5,0,2,2,3,2,8,8,1.0,13.5,3.75,6.12,9.25,0,2,-1,-1,1,1,1,0,1
665,Cardiff,Aston Villa,-1,-3,-1,20,21,0.44,10.78,3.0,4.22,9.22,0,2,-1,-1,-2,15,10,0.88,11.5,3.0,4.12,12.5,0,0,-1,-1,1,1,0,0,0
666,Hull,Southampton,0,-1,1,11,14,0.9,12.3,2.8,3.5,11.8,0,4,2,1,0,6,14,1.7,14.6,4.4,5.7,10.5,0,3,-1,-1,1,1,0,1,-1
667,West Brom,Chelsea,-2,-2,-1,17,13,1.0,12.5,4.1,5.2,11.0,0,7,3,3,4,2,3,2.3,16.3,5.9,6.5,10.5,0,3,0,0,0,0,1,1,0
668,West Ham,Norwich,3,1,3,9,5,1.33,11.78,3.11,5.67,9.44,1,3,-2,-1,0,20,11,1.0,12.44,3.78,4.56,9.44,0,6,0,0,0,0,2,0,1
669,Arsenal,Man United,1,2,-1,6,7,1.33,14.33,5.44,5.78,11.0,0,3,0,-2,0,8,1,1.27,14.0,4.82,6.73,10.55,0,2,-1,-1,1,1,0,0,0
670,Fulham,Liverpool,-2,0,0,17,16,1.11,14.11,5.33,6.0,9.11,0,0,2,4,1,1,6,2.82,18.18,7.36,5.45,12.09,0,3,-1,-1,1,1,2,3,-1
671,Newcastle,Tottenham,-3,-3,-4,10,12,0.67,14.22,5.78,4.0,13.67,0,5,2,4,1,5,2,1.09,15.55,5.0,7.0,9.45,0,2,-1,-1,1,1,0,4,-1
672,Stoke,Swansea,0,1,0,15,17,1.67,10.89,3.56,4.89,13.78,0,6,-1,-2,1,13,9,1.27,14.0,3.91,6.73,8.18,0,1,-1,-1,1,1,1,1,0
673,Everton,West Ham,1,1,-1,9,8,0.89,13.22,3.67,6.22,9.67,0,1,3,3,4,7,5,1.4,11.8,3.5,5.6,9.7,0,3,2,2,-2,-2,1,0,1
674,Fulham,Chelsea,-2,-2,-1,17,16,1.2,13.7,5.1,6.1,8.9,0,4,2,4,0,2,3,2.18,16.18,5.73,6.64,10.73,0,4,-1,-1,1,1,1,3,-1
675,Hull,Newcastle,0,-2,-1,13,14,0.82,12.27,2.91,3.36,11.27,0,3,-3,-5,-5,12,12,0.6,14.1,5.7,4.4,12.9,0,3,0,0,0,0,1,4,-1
676,Southampton,Liverpool,2,2,1,6,14,1.64,14.73,4.64,5.36,10.27,0,3,2,4,2,1,6,2.83,18.42,7.33,5.42,11.83,0,4,-1,-1,1,1,0,3,-1
677,Stoke,Arsenal,1,0,0,12,17,1.6,10.5,3.6,4.6,13.5,0,6,0,1,0,5,7,1.2,14.6,5.4,5.7,10.9,0,3,-1,-1,1,1,1,0,1
678,Tottenham,Cardiff,2,4,2,3,2,1.33,15.5,5.25,6.92,9.58,0,1,0,-2,0,19,21,0.4,10.9,3.0,4.5,8.8,0,1,0,0,0,0,1,0,1
679,Swansea,Crystal Palace,0,-2,0,12,9,1.25,13.92,3.83,6.58,8.5,0,3,-1,0,1,15,21,0.89,12.0,3.56,5.56,11.22,0,2,0,0,0,0,1,1,0
680,Aston Villa,Norwich,-2,-2,0,15,10,0.78,12.22,3.33,4.67,12.11,0,0,-2,-3,-1,20,11,0.9,12.5,4.0,4.6,10.1,0,5,2,2,-2,-2,4,1,1
681,Cardiff,Fulham,-2,-2,-1,19,21,0.36,10.64,2.91,4.73,9.09,0,3,-2,-4,-2,17,16,1.18,13.09,4.91,6.0,9.36,0,6,0,0,0,0,3,1,1
682,Chelsea,Tottenham,2,4,1,2,3,2.25,16.25,5.92,6.42,10.92,0,5,3,4,3,3,2,1.31,15.46,5.31,6.69,9.69,0,1,0,0,0,0,4,0,1
683,Crystal Palace,Southampton,0,-1,0,14,21,0.9,11.5,3.6,5.4,11.2,0,4,0,2,-1,6,14,1.5,14.58,4.42,5.17,10.25,0,4,0,0,0,0,0,1,-1
684,Norwich,Stoke,-2,-4,-2,20,11,0.91,12.0,4.0,4.36,10.09,0,6,1,1,1,10,17,1.55,10.27,3.64,4.45,13.45,0,5,0,0,0,0,1,1,0
685,West Brom,Man United,-1,-1,0,17,13,1.0,12.45,3.82,5.18,10.82,0,6,-1,-1,0,10,1,1.17,13.33,4.58,6.58,10.83,0,2,-2,-2,2,2,0,3,-1
686,Aston Villa,Fulham,0,0,1,12,10,1.1,12.0,3.4,4.8,12.1,0,0,-3,-4,-3,18,16,1.17,13.17,5.0,6.0,9.58,0,2,0,0,0,0,1,2,-1
687,Cardiff,Crystal Palace,0,0,1,17,21,0.58,11.33,3.42,4.92,9.08,0,4,0,-2,-1,15,21,0.82,11.0,3.36,5.64,11.45,0,5,-1,-1,1,1,0,3,-1
688,Chelsea,Stoke,2,4,2,2,3,2.38,15.92,5.77,6.31,10.92,0,3,1,2,0,9,17,1.5,9.92,3.58,4.17,13.33,1,5,1,2,-1,-2,3,0,1
689,Hull,Swansea,-1,-2,-2,16,14,0.83,12.33,2.92,3.58,11.42,0,3,1,-1,0,14,9,1.23,13.38,3.92,6.15,8.46,1,3,0,0,0,0,1,0,1
690,Man City,Southampton,0,1,0,5,4,2.2,18.1,4.9,8.2,10.2,0,4,1,2,1,4,14,1.46,14.31,4.31,5.0,10.85,0,6,-1,-1,1,1,4,1,1
691,Newcastle,Man United,-1,-3,1,12,12,0.91,14.36,5.82,4.27,12.64,0,2,1,1,1,7,1,1.31,13.38,4.62,6.46,10.77,0,4,1,1,-1,-1,0,4,-1
692,Norwich,West Brom,-2,-3,0,20,11,0.92,12.08,4.08,4.25,10.0,0,3,-2,-3,-1,18,13,0.92,12.58,3.75,5.0,10.83,0,4,1,1,-1,-1,0,1,-1
693,Everton,Arsenal,1,2,1,8,8,0.9,14.1,3.6,6.7,9.6,0,1,-2,0,-1,7,7,1.09,14.18,5.09,5.55,10.91,0,2,-2,-2,2,2,3,0,1
694,West Ham,Liverpool,1,3,-1,10,5,1.27,11.27,3.27,5.55,9.55,0,2,3,4,3,2,6,2.85,17.92,7.15,5.46,11.38,0,5,-2,-2,2,2,1,2,-1
695,Tottenham,Sunderland,1,2,-1,3,2,1.21,14.79,5.07,6.5,10.29,1,4,1,-1,-1,19,8,1.44,10.33,3.0,4.11,11.89,1,3,2,1,-2,-1,5,1,1
696,Crystal Palace,Aston Villa,0,0,1,11,21,1.0,11.17,3.75,5.42,11.58,0,5,0,-2,-1,14,10,1.09,12.0,3.64,4.55,11.91,0,3,0,0,0,0,1,0,1
697,Fulham,Norwich,-1,-2,1,17,16,1.23,13.38,5.23,6.08,9.85,0,2,-2,-3,-1,20,11,0.85,12.08,4.08,4.46,10.0,0,1,0,0,0,0,1,0,1
698,Southampton,Cardiff,-1,0,-1,6,14,1.43,13.64,4.07,5.29,11.14,0,5,-1,-2,-1,18,21,0.54,11.46,3.46,5.31,8.77,0,3,0,0,0,0,0,1,-1
699,Stoke,Newcastle,0,0,-1,11,17,1.38,9.46,3.46,4.08,13.69,1,2,-1,-3,-1,13,12,0.83,14.33,5.67,4.25,12.92,0,3,-1,-1,1,1,1,0,1
700,Sunderland,Everton,-1,-1,-2,19,8,1.4,10.1,3.1,3.9,11.5,1,3,1,3,2,7,8,1.09,14.09,4.0,6.36,9.27,0,2,-2,-2,2,2,0,1,-1
701,West Brom,Tottenham,0,-1,1,17,13,0.92,12.23,3.85,4.85,10.85,0,1,1,3,1,3,2,1.47,15.73,5.47,6.6,10.4,1,3,-2,-2,2,2,3,3,0
702,Aston Villa,Hull,-1,-2,-2,15,10,1.0,11.58,3.67,4.5,11.92,0,5,-1,0,1,14,14,0.85,12.0,3.0,3.85,11.0,0,3,1,1,-1,-1,3,1,1
703,Man United,Sunderland,2,1,2,6,1,1.5,13.0,4.57,6.36,10.43,0,2,-3,-1,-3,19,8,1.27,11.36,3.36,4.09,12.0,0,5,2,3,-2,-3,0,1,-1
